brand_name,cv_reach,pct_low_reach_poas,total_unreached_population,unreached_scaled,geographic_outage_score
Menulog,1.0150627944743886,0.5384615384615384,4176683.6688375003,417.66836688375,228.2859490436934
Qantas Airways,0.9760702562370369,0.49538461538461537,4067454.2680375,406.74542680375,196.67369288349613
JB Hi-Fi,0.7356438573462613,0.28307692307692306,3867792.6443625,386.77926443625,80.54438363966706
Commonwealth Bank,0.6504643411302262,0.24153846153846154,3633588.066714286,363.35880667142857,57.088085605749505
Woolworths,0.5807149244844024,0.2569230769230769,3793296.787914286,379.3296787914286,56.595633483488506
Chemist Warehouse,0.5432495649433586,0.24153846153846154,3999517.171325,399.9517171325,52.47993019061698
Kmart Australia,0.4891967910622216,0.19230769230769232,3798226.2448821426,379.8226244882143,35.73230943701262
REA Group (realestate.com.au),0.5606891727975659,0.18461538461538463,3443729.8833232145,344.3729883323214,35.646684177576944
Harvey Norman,0.47299019693444766,0.18307692307692308,3985081.9003714286,398.50819003714287,34.50825477998979
Toyota Australia,0.4913068235909922,0.17384615384615384,3643520.6667,364.35206667,31.119966445419966
Bunnings Warehouse,0.4956307643707616,0.15846153846153846,3270979.1401410713,327.0979140141071,25.68975120327698
Telstra Mobile,0.34247867514738595,0.010769230769230769,4022973.5374632655,402.29735374632656,1.4837659278221358
