POA_CODE21,postcode,brand_name,percent_population_exposed,Tot_P_P,Tot_P_M,Tot_P_F,exposure_fraction,media_potential,persona_id,persona_label,persona_description
0800,0800,Bunnings Warehouse,57.40839285714286,7149.0,3806.0,3345.0,0.5740839285714285,3044.8739946428573,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,Chemist Warehouse,12.314285714285715,7149.0,3806.0,3345.0,0.12314285714285715,6268.651714285715,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,Commonwealth Bank,22.179642857142856,7149.0,3806.0,3345.0,0.22179642857142856,5563.377332142857,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,Harvey Norman,20.519642857142856,7149.0,3806.0,3345.0,0.20519642857142856,5682.050732142858,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,JB Hi-Fi,9.73857142857143,7149.0,3806.0,3345.0,0.0973857142857143,6452.7895285714285,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,Kmart Australia,15.198035714285714,7149.0,3806.0,3345.0,0.15198035714285715,6062.492426785714,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,Menulog,6.653928571428572,7149.0,3806.0,3345.0,0.06653928571428572,6673.310646428572,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,Qantas Airways,20.702321428571427,7149.0,3806.0,3345.0,0.20702321428571427,5668.991041071429,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,REA Group (realestate.com.au),47.08589285714286,7149.0,3806.0,3345.0,0.4708589285714286,3782.8295196428567,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,Telstra Mobile,30.83581632653061,7149.0,3806.0,3345.0,0.30835816326530613,4944.547490816327,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,Toyota Australia,65.12482142857142,7149.0,3806.0,3345.0,0.6512482142857142,2493.226516071429,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0800,0800,Woolworths,14.853214285714285,7149.0,3806.0,3345.0,0.14853214285714286,6087.143710714286,6.0,Young Educated Households,"Postcodes with more adults aged 25–44 and higher school completion beyond Year 10, relative to the national postcode profile."
0810,0810,Bunnings Warehouse,69.35214285714285,34330.0,16993.0,17330.0,0.6935214285714285,10521.409357142858,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,Chemist Warehouse,38.78785714285714,34330.0,16993.0,17330.0,0.3878785714285714,21014.128642857144,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,Commonwealth Bank,26.763214285714287,34330.0,16993.0,17330.0,0.2676321428571429,25142.188535714286,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,Harvey Norman,14.119285714285713,34330.0,16993.0,17330.0,0.14119285714285712,29482.849214285714,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,JB Hi-Fi,22.554642857142856,34330.0,16993.0,17330.0,0.22554642857142856,26586.991107142858,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,Kmart Australia,47.917500000000004,34330.0,16993.0,17330.0,0.479175,17879.92225,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,Menulog,2.2680357142857144,34330.0,16993.0,17330.0,0.022680357142857144,33551.38333928571,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,Qantas Airways,11.307500000000001,34330.0,16993.0,17330.0,0.11307500000000001,30448.13525,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,REA Group (realestate.com.au),41.70142857142857,34330.0,16993.0,17330.0,0.4170142857142857,20013.89957142857,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,Telstra Mobile,23.512551020408164,34330.0,16993.0,17330.0,0.23512551020408165,26258.141234693878,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,Toyota Australia,54.00232142857143,34330.0,16993.0,17330.0,0.5400232142857143,15791.003053571427,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0810,0810,Woolworths,37.37464285714286,34330.0,16993.0,17330.0,0.3737464285714286,21499.285107142856,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
0812,0812,,,18634.0,9185.0,9449.0,,,1.0,Prime Working-Age Areas,"Postcodes with more adults aged 25–44 and schooling levels close to the national average, relative to the national postcode profile."
